# ID	Clay	Silt	Sand	bulk_density	OM_content	CEC	pH	k_sat	WC_pF1.0	WC_pF1.5	WC_pF2.0	WC_pF2.3	WC_pF2.7	WC_pF3.5	WC_pF4.2
1010	0.03	0.07	0.9	1.64	0.01	-999	-999	171.1	0.174285714	0.118	0.083333333	0.07	0.06	-999	-999
1011	0.03	0.07	0.9	1.52	-999	-999	-999	310	0.167142857	0.098	0.07	0.06	0.05	-999	-999
1012	0.02	0.075	0.905	1.4	-999	-999	-999	207	0.1375	0.08	0.0575	0.05	0.045	-999	-999
1013	0.02	0.065	0.915	1.49	-999	-999	-999	161	0.127	0.0875	0.045	0.04	0.035	-999	-999
1014	0.02	0.055	0.925	1.53	-999	-999	-999	199	0.125	0.08375	0.035	0.03	0.025	-999	-999
1015	0.06	0.06	0.88	1.72	-999	-999	-999	60.4	0.172	0.15875	0.13	0.123333333	0.12	-999	-999
1020	0.04	0.03	0.93	1.61	-999	-999	-999	-999	0.15	0.12	0.103333333	0.095	0.09	-999	-999
1021	0.06	0.025	0.915	1.58	-999	-999	-999	-999	0.121428571	0.098	0.083333333	0.075	0.07	-999	-999
1022	0.04	0.03	0.93	1.6	-999	-999	-999	-999	0.1	0.078	0.063333333	0.055	0.06	-999	-999
1023	0.02	0.02	0.96	1.67	-999	-999	-999	-999	0.083333333	0.065	0.05	0.03	-999	-999	-999
1024	0.02	0.015	0.965	1.68	-999	-999	-999	-999	0.078333333	0.0625	0.05	0.04	-999	-999	-999
1030	0.07	0.07	0.86	1.48	1.7	-999	-999	-999	0.189	0.15125	0.1075	0.08	0.04	0.04	-999
1031	0.07	0.07	0.86	1.48	0.2	-999	-999	-999	0.183	0.1475	0.1025	0.075	0.04	0.04	-999
1032	0.07	0.065	0.865	1.53	0.1	-999	-999	-999	0.186	0.15375	0.105	0.065	0.03	0.03	-999
1041	0.02	0.025	0.955	1.512	0.783	-999	-999	542.9	0.16	0.11	0.063333333	0.06	-999	-999	-999
1042	0.03	0.005	0.965	1.562	0.31	-999	-999	666.2	0.156363636	0.10125	0.053333333	0.05	-999	-999	-999
1043	0.03	0.02	0.95	1.593	-999	-999	-999	691.9	0.149090909	0.09375	0.036666667	0.03	-999	-999	-999
1050	0.03	0.02	0.95	1.6	-999	-999	-999	708	0.113636364	0.085555556	0.068	0.063333333	-999	-999	-999
1051	0.08	0.02	0.9	1.59	-999	-999	-999	742	0.11	0.08	0.063333333	0.063333333	-999	-999	-999
1052	0.06	0.015	0.925	1.55	-999	-999	-999	1117	0.077272727	0.064444444	0.056	0.053333333	-999	-999	-999
1053	0.03	0.005	0.965	1.54	-999	-999	-999	2784	0.05	0.037777778	0.032	0.03	-999	-999	-999
1054	0.02	0	0.98	1.54	-999	-999	-999	4176	0.035454545	0.026666667	0.022	0.02	-999	-999	-999
1060	0.02	0.025	0.955	1.55	-999	-999	-999	852	0.110909091	0.082222222	0.062	0.056666667	-999	-999	-999
1061	0.04	0.025	0.935	1.59	-999	-999	-999	698	0.085454545	0.061111111	0.046	0.043333333	-999	-999	-999
